Case.1: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/apis/meta/v1/unstructured/helpers.go, Line.425, &m, Correctness(true)
Case.2: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/apis/meta/v1/unstructured/helpers.go, Line.444, &list.Object, Correctness(true)
Case.3: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/runtime/converter.go, Line.542, &result, Correctness(true)
Case.4: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/runtime/converter.go, Line.542, &result, Correctness(true)
Case.5: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/runtime/converter.go, Line.550, &result, Correctness(true)
Case.6: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/runtime/converter.go, Line.564, &resultFloat, Correctness(true)
Case.7: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/runtime/converter.go, Line.421, &u, Correctness(true)
Case.8: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiserver/plugin/pkg/authenticator/token/oidc/oidc.go, Line.479, &claimToSource, Correctness(true)
Case.9: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiserver/plugin/pkg/authenticator/token/oidc/oidc.go, Line.575, &username, Correctness(true)
Case.10: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiserver/plugin/pkg/authenticator/token/oidc/oidc.go, Line.575, &username, Correctness(true)
Case.11: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiserver/plugin/pkg/authenticator/token/oidc/oidc.go, Line.607, &groups, Correctness(true)
Case.12: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiserver/plugin/pkg/authenticator/token/oidc/oidc.go, Line.628, &claimValue, Correctness(true)
Case.13: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiserver/plugin/pkg/authenticator/token/oidc/oidc.go, Line.681, &str, Correctness(true)
Case.14: github.com/kubernetes/kubernetes/staging/src/k8s.io/legacy-cloud-providers/vsphere/vclib/virtualmachine.go, Line.237, &dsMoList, Correctness(true)
Case.15: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1/marshal.go, Line.85, &nw.Property, Correctness(true)
Case.16: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1/marshal.go, Line.85, &nw.Property, Correctness(true)
Case.17: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1/marshal.go, Line.114, &nw.JSONSchemas, Correctness(true)
Case.18: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1/marshal.go, Line.114, &nw.JSONSchemas, Correctness(true)
Case.19: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/api/meta/meta.go, Line.405, &blockOwnerDeletionPtr, Correctness(true)
Case.20: github.com/kubernetes/kubernetes/staging/src/k8s.io/apimachinery/pkg/api/meta/meta.go, Line.437, &block, Correctness(true)
Case.21: github.com/kubernetes/kubernetes/test/e2e/framework/config/config.go, Line.192, &defValue, Correctness(true)
Case.22: github.com/kubernetes/kubernetes/test/e2e/framework/config/config.go, Line.198, &defValue, Correctness(true)
Case.23: github.com/kubernetes/kubernetes/test/e2e/framework/config/config.go, Line.202, &defValue, Correctness(true)
Case.24: github.com/kubernetes/kubernetes/test/e2e/framework/config/config.go, Line.206, &defValue, Correctness(true)
Case.25: github.com/kubernetes/kubernetes/test/e2e/framework/config/config.go, Line.210, &defValue, Correctness(true)
Case.26: github.com/kubernetes/kubernetes/cmd/preferredimports/preferredimports.go, Line.242, &aliases, Correctness(true)
Case.27: github.com/kubernetes/kubernetes/staging/src/k8s.io/client-go/util/cert/cert.go, Line.178, &certBuffer, Correctness(true)
Case.28: github.com/kubernetes/kubernetes/test/images/agnhost/guestbook/guestbook.go, Line.96, &responseJSON, Correctness(true)
Case.29: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1beta1/marshal.go, Line.85, &nw.Property, Correctness(true)
Case.30: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1beta1/marshal.go, Line.85, &nw.Property, Correctness(true)
Case.31: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1beta1/marshal.go, Line.114, &nw.JSONSchemas, Correctness(true)
Case.32: github.com/kubernetes/kubernetes/staging/src/k8s.io/apiextensions-apiserver/pkg/apis/apiextensions/v1beta1/marshal.go, Line.114, &nw.JSONSchemas, Correctness(true)
